Technology,Peak average maximum upload speed,Peak average maximum download speed,24 hour Latency,24 hour packet loss
ADSL,0.592512,2.762929806,32.52201506,0.0011
ADSL,0.969976,12.19093755,21.66366253,0.0007
ADSL,0.369968,4.788832258,30.07091477,0.0006
ADSL,0.968512,7.652010581,30.72140915,0.0007
ADSL,0.660584,4.627306838,30.2663882,0.0005
ADSL,1.163632,6.788473548,37.01483852,0.005
ADSL,0.676248,2.889608516,34.28669582,0.0008
ADSL,1.117784,16.49976103,11.48209763,0.0049
ADSL,1.01952,17.84178323,11.1208011,0
ADSL,1.085416,16.98787639,5.64566059,0.0002
ADSL,1.110888,8.11395071,16.54025,0.0018
ADSL,1.086176,19.99320077,19.97912644,0.0003
ADSL,1.086336,10.21354942,26.06262734,0.0034
ADSL,0.342888,1.95032671,27.67477808,0.0055
ADSL,0.870712,5.34865471,46.85916071,0.0022
ADSL,0.357368,4.660029162,39.79762535,0.0002
ADSL,0.940368,12.69311467,11.49682105,0.0021
ADSL,0.880384,20.05416619,11.16223554,0.0007
ADSL,0.877496,10.22029161,29.1990303,0.0035
ADSL,0.748776,6.582331871,31.56314773,0.0002
ADSL,0.836304,13.24601171,32.58447432,0.0013
ADSL,0.63596,1.892781678,35.66493491,0.0013
ADSL,1.003368,14.12296367,26.08424687,0.0017
ADSL,0.932168,10.6253391,26.00231333,0.0064
ADSL,1.02628,4.227145548,11.27463056,0.0008
ADSL,0.635464,2.310099734,29.72749828,0.0004
ADSL,0.945248,16.13198142,17.56750184,0.0007
ADSL,0.344048,0.92168929,19.48281448,0.0001
ADSL,0.369792,0.589221419,34.14507902,0.0002
ADSL,0.673032,5.079759484,25.4335726,0.0018
ADSL,1.03992,18.50375561,31.4471741,0.0001
ADSL,0.865328,13.48110541,24.4611203,0.0031
ADSL,0.859616,7.815637678,30.20811715,0.0002
ADSL,1.023568,17.97680748,22.66330769,0.0001
ADSL,1.020696,11.89176826,13.35298317,0.0002
ADSL,0.638208,2.052124645,23.79204692,0.0006
ADSL,0.819976,2.581806934,20.7025,0.002
ADSL,0.868608,6.401313548,21.98741552,0.0011
ADSL,0.365416,3.174078194,43.21031672,0.002
ADSL,1.097744,15.60369703,20.04458881,0.001
ADSL,0.673872,18.90023561,21.396558,0.0018
ADSL,0.843584,11.15559897,31.69134986,0.0007
ADSL,0.53568,2.072345032,34.29874074,0.0061
ADSL,0.884296,2.859024,20.3938727,0.0009
ADSL,1.060752,20.2507357,11.60017647,0.0006
ADSL,0.883888,5.642686968,19.09303366,0.0001
ADSL,1.092016,16.65564981,9.45658213,0.0033
ADSL,1.009,19.7581936,20.7225723,0.0009
ADSL,0.474624,1.690963097,27.18006316,0.0019
ADSL,0.697904,13.760712,24.91661458,0.0004
ADSL,0.752032,3.836717162,30.67818889,0.0008
ADSL,0.882432,16.82390839,12.85706327,0.0001
ADSL,1.022824,14.08558426,11.29513912,0.0002
ADSL,0.759208,15.77572645,40.24781344,0.0002
ADSL,0.825984,9.560523097,32.17255907,0.0008
ADSL,1.16196,16.8169352,14.2369234,0.0005
ADSL,0.828504,3.1838752,30.06392308,0.002
ADSL,0.668392,12.28453076,34.36821746,0.0101
ADSL,0.76032,11.95959071,37.50869242,0.0012
ADSL,0.878952,13.84218064,23.07889091,0.0002
ADSL,0.917448,18.77961653,8.36393529,0.0003
ADSL,0.550576,2.736424258,35.65597368,0.0054
ADSL,0.372272,1.709716387,33.46144427,0.0011
ADSL,0.933992,11.99452026,7.12263549,0.0003
ADSL,0.990312,16.19710632,18.50749267,0.0001
ADSL,0.848096,2.115386838,18.78313204,0.0034
ADSL,0.773472,3.156518452,13.40132947,0.0038
ADSL,1.06032,8.498067613,13.766259,0.0008
ADSL,0.768424,11.61159561,26.66659396,0.0013
ADSL,0.86156,10.32091911,24.10378673,0.0021
ADSL,0.670512,17.72664955,30.67158904,0.0003
ADSL,0.452816,2.735307613,42.23251634,0.0034
ADSL,0.730952,12.58985729,19.27845753,0.0003
ADSL,0.537784,2.563702194,24.45361898,0.0029
ADSL,0.373424,1.080201806,42.01568544,0.0002
ADSL,0.861696,13.4411287,37.28718372,0.0215
ADSL,0.751728,5.865248258,9.28800276,0.002
ADSL,0.66308,8.7316384,24.58872098,0.0004
ADSL,1.069056,19.5466049,15.58596401,0.0015
ADSL,0.648568,2.400196645,20.9039062,0.001
ADSL,0.691248,2.219723334,39.77363102,0.001
ADSL,0.748976,7.538840516,30.73511417,0.0002
ADSL,0.96768,13.35101707,31.01353846,0.0063
ADSL,0.89428,10.97804903,36.15435626,0.0008
ADSL,0.986768,8.482655238,25.33264274,0.0001
ADSL,0.930096,6.496084266,42.86274955,0.0012
ADSL,0.95352,10.6846031,20.46293931,0.0004
ADSL,0.816536,10.66072619,15.8933425,0.0006
ADSL,1.026632,17.38035813,13.03837058,0.0017
ADSL,1.099984,19.99410991,11.604154,0.0008
ADSL,0.922088,14.49095381,13.05218156,0.0003
ADSL,1.007408,5.7499896,29.24897072,0.0022
ADSL,0.738432,3.354167226,21.83875321,0.0023
ADSL,0.741376,8.928978666,27.18930149,0.0031
ADSL,1.056736,17.67043826,27.35693431,0.0008
ADSL,1.0414,14.161984,23.30224713,0.0004
ADSL,0.3452,0.683440615,23.95459524,0.0046
ADSL,1.045184,18.08299093,20.67390537,0.0002
ADSL,1.001648,6.724229162,7.8993195,0.0002
ADSL,0.975536,13.56169677,16.96023398,0.0034
ADSL,0.959648,12.23446994,24.21593499,0.0001
ADSL,0.851472,13.16855381,37.20441621,0.0008
ADSL,0.975672,12.4801448,29.16698906,0.0014
ADSL,1.03416,11.45504155,29.32444721,0.0009
ADSL,0.903904,8.532981935,30.32199725,0.0025
ADSL,0.70708,3.861123871,27.4497561,0.0007
ADSL,0.750816,3.041680516,15.28053,0.0002
ADSL,0.959176,16.49369497,30.9005522,0.0013
ADSL,0.857808,3.410599226,37.04167181,0.0008
